target_date,city,decision_hour_local,bracket,current_native,running_native,bracket_upper,final_max_native,actual_peak_first_hour_local,actual_peak_last_hour_local,actual_peak_afternoon,future_max_above_running,final_max_above_current_upper,label_no_wins,no_ask,stake_profit_usd,peak_already_started_by_decision,final_did_not_cross_bracket_upper
2026-05-27,BuenosAires,14,15,15.0,15.0,15.0,15.0,13,14,True,False,False,0.0,0.25,-5.0,True,True
2026-05-27,Chengdu,13,29,28.88888888888889,28.88888888888889,29.0,28.88888888888889,13,14,True,False,False,0.0,0.88,-5.0,True,True
2026-05-27,Chengdu,14,29,28.88888888888889,28.88888888888889,29.0,28.88888888888889,13,14,True,False,False,0.0,0.57,-5.0,True,True
2026-05-27,Denver,14,68-69,68.0,68.0,69.0,68.0,13,13,True,False,False,0.0,0.458,-5.0,True,True
2026-05-27,Miami,14,88-89,88.0,88.0,89.0,88.0,13,13,True,False,False,0.0,0.05,-5.0,True,True
2026-05-27,Munich,14,30,28.88888888888889,30.0,30.0,30.0,13,17,True,False,False,0.0,0.22,-5.0,True,True
2026-05-27,Shanghai,14,30,30.0,30.0,30.0,30.0,14,15,True,False,False,0.0,0.078,-5.0,True,True
2026-05-27,Singapore,14,33,32.77777777777778,32.77777777777778,33.0,32.77777777777778,14,15,True,False,False,0.0,0.19,-5.0,True,True
2026-05-27,Taipei,14,38,37.77777777777778,37.77777777777778,38.0,37.77777777777778,13,16,True,False,False,0.0,0.23,-5.0,True,True
2026-05-27,TelAviv,14,27,27.22222222222222,27.22222222222222,27.0,27.22222222222222,13,13,True,False,True,0.0,0.02,-5.0,True,False
2026-05-28,Atlanta,14,86-87,86.0,86.0,87.0,86.0,13,17,True,False,False,0.0,0.25,-5.0,True,True
2026-05-28,Austin,13,82+,84.0,84.0,82.0,89.0,15,18,True,True,True,0.0,0.006,-5.0,False,False
2026-05-28,Austin,14,82+,87.0,87.0,82.0,89.0,15,18,True,True,True,0.0,0.007,-5.0,False,False
2026-05-28,Dallas,14,84+,85.0,85.0,84.0,88.0,15,15,True,True,True,0.0,0.009,-5.0,False,False
2026-05-28,Helsinki,14,16,16.11111111111111,16.11111111111111,16.0,16.11111111111111,13,13,True,False,True,0.0,0.227,-5.0,True,False
2026-05-28,LA,14,68-69,68.0,68.0,69.0,68.0,13,14,True,False,False,0.0,0.06,-5.0,True,True
2026-05-28,Miami,14,84-85,84.0,84.0,85.0,85.0,14,15,True,True,False,0.0,0.78,-5.0,True,True
2026-05-28,SaoPaulo,14,21,21.11111111111111,21.11111111111111,21.0,21.11111111111111,14,16,True,False,True,0.0,0.39,-5.0,True,False
2026-05-28,Shanghai,13,28,27.77777777777778,27.77777777777778,28.0,27.77777777777778,13,13,True,False,False,0.0,0.07,-5.0,True,True
2026-05-28,Shanghai,14,28,27.22222222222222,27.77777777777778,28.0,27.77777777777778,13,13,True,False,False,0.0,0.024,-5.0,True,True
2026-05-28,Singapore,13,32,32.22222222222222,32.22222222222222,32.0,32.22222222222222,13,17,True,False,True,0.0,0.15,-5.0,True,False
2026-05-28,Singapore,14,32,32.22222222222222,32.22222222222222,32.0,32.22222222222222,13,17,True,False,True,0.0,0.16,-5.0,True,False
2026-05-28,Wuhan,13,29,28.88888888888889,28.88888888888889,29.0,28.88888888888889,13,14,True,False,False,0.0,0.3,-5.0,True,True
2026-05-28,Wuhan,14,29,28.88888888888889,28.88888888888889,29.0,28.88888888888889,13,14,True,False,False,0.0,0.18,-5.0,True,True
2026-05-29,Ankara,14,17,17.22222222222222,17.22222222222222,17.0,17.22222222222222,13,14,True,False,True,0.0,0.45,-5.0,True,False
2026-05-29,Atlanta,14,82-83,82.0,82.0,83.0,83.0,15,16,True,True,False,0.0,0.1,-5.0,False,True
2026-05-29,Austin,11,82+,84.0,84.0,82.0,90.0,15,15,True,True,True,0.0,0.006,-5.0,False,False
2026-05-29,Austin,13,82+,87.0,87.0,82.0,90.0,15,15,True,True,True,0.0,0.004,-5.0,False,False
2026-05-29,Austin,14,82+,88.0,88.0,82.0,90.0,15,15,True,True,True,0.0,0.004,-5.0,False,False
2026-05-29,BuenosAires,14,15,15.0,15.0,15.0,15.0,14,15,True,False,False,0.0,0.52,-5.0,True,True
2026-05-29,Dallas,14,88+,89.0,89.0,88.0,90.0,17,18,True,True,True,0.0,0.004,-5.0,False,False
2026-05-29,Istanbul,14,19,18.88888888888889,18.88888888888889,19.0,18.88888888888889,13,18,True,False,False,0.0,0.54,-5.0,True,True
2026-05-29,Manila,13,35,35.0,35.0,35.0,35.0,13,13,True,False,False,0.0,0.42,-5.0,True,True
2026-05-29,Manila,14,35,33.888888888888886,35.0,35.0,35.0,13,13,True,False,False,0.0,0.13,-5.0,True,True
2026-05-29,Miami,14,90-91,91.0,91.0,91.0,91.0,13,13,True,False,False,0.0,0.22,-5.0,True,True
2026-05-29,SaoPaulo,13,20,20.0,20.0,20.0,20.0,13,15,True,False,False,0.0,0.61,-5.0,True,True
2026-05-29,SaoPaulo,14,20,20.0,20.0,20.0,20.0,13,15,True,False,False,0.0,0.55,-5.0,True,True
2026-05-29,Shanghai,13,27,27.22222222222222,27.22222222222222,27.0,27.22222222222222,13,16,True,False,True,0.0,0.18,-5.0,True,False
2026-05-29,Shanghai,14,27,26.11111111111111,27.22222222222222,27.0,27.22222222222222,13,16,True,False,True,0.0,0.84,-5.0,True,False
2026-05-30,Austin,11,80+,83.0,83.0,80.0,87.0,13,15,True,True,True,0.0,0.001,-5.0,False,False
2026-05-30,Austin,12,80+,84.0,84.0,80.0,87.0,13,15,True,True,True,0.0,0.004,-5.0,False,False
2026-05-30,Austin,13,80+,85.0,85.0,80.0,87.0,13,15,True,True,True,0.0,0.003,-5.0,True,False
2026-05-30,Austin,14,80+,87.0,87.0,80.0,87.0,13,15,True,False,True,0.0,0.003,-5.0,True,False
2026-05-30,Beijing,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,16,True,False,True,0.0,0.64,-5.0,True,False
2026-05-30,Busan,14,31,31.11111111111111,31.11111111111111,31.0,31.11111111111111,14,14,True,False,True,0.0,0.31,-5.0,True,False
2026-05-30,CapeTown,13,19,18.88888888888889,18.88888888888889,19.0,18.88888888888889,13,15,True,False,False,0.0,0.63,-5.0,True,True
2026-05-30,CapeTown,14,19,18.88888888888889,18.88888888888889,19.0,18.88888888888889,13,15,True,False,False,0.0,0.3,-5.0,True,True
2026-05-30,Chengdu,13,30,30.0,30.0,30.0,30.0,13,18,True,False,False,0.0,0.97,-5.0,True,True
2026-05-30,Chengdu,14,30,28.88888888888889,30.0,30.0,30.0,13,18,True,False,False,0.0,0.89,-5.0,True,True
2026-05-30,Dallas,13,88+,89.0,89.0,88.0,93.0,14,14,True,True,True,0.0,0.003,-5.0,False,False
2026-05-30,Dallas,14,88+,89.0,89.0,88.0,93.0,14,14,True,True,True,0.0,0.003,-5.0,True,False
2026-05-30,Houston,10,82+,82.0,82.0,82.0,91.0,15,15,True,True,True,0.0,0.001,-5.0,False,False
2026-05-30,Jeddah,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,14,15,True,False,True,0.0,0.12,-5.0,True,False
2026-05-30,Karachi,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,14,15,True,False,True,0.0,0.57,-5.0,True,False
2026-05-30,SanFrancisco,13,64-65,64.0,64.0,65.0,65.0,13,13,True,True,False,0.0,0.51,-5.0,True,True
2026-05-30,SanFrancisco,14,64-65,65.0,65.0,65.0,65.0,13,13,True,False,False,0.0,0.61,-5.0,True,True
2026-05-30,Warsaw,13,22,22.22222222222222,22.22222222222222,22.0,22.22222222222222,13,14,True,False,True,0.0,0.27,-5.0,True,False
2026-05-30,Warsaw,14,22,22.22222222222222,22.22222222222222,22.0,22.22222222222222,13,14,True,False,True,0.0,0.15,-5.0,True,False
2026-05-31,Chongqing,14,31,31.11111111111111,31.11111111111111,31.0,31.11111111111111,14,15,True,False,True,0.0,0.57,-5.0,True,False
2026-05-31,Dallas,14,92+,92.0,92.0,92.0,93.0,16,16,True,True,True,0.0,0.004,-5.0,False,False
2026-05-31,Houston,14,90+,90.0,90.0,90.0,90.0,13,15,True,False,False,0.0,0.006,-5.0,True,True
2026-05-31,Jeddah,13,35,35.0,35.0,35.0,35.0,13,13,True,False,False,0.0,0.75,-5.0,True,True
2026-05-31,Jeddah,14,35,33.888888888888886,35.0,35.0,35.0,13,13,True,False,False,0.0,0.09,-5.0,True,True
2026-05-31,Karachi,13,35,35.0,35.0,35.0,35.0,13,14,True,False,False,0.0,0.25,-5.0,True,True
2026-05-31,Karachi,14,35,35.0,35.0,35.0,35.0,13,14,True,False,False,0.0,0.11,-5.0,True,True
2026-05-31,LA,12,70-71,70.0,70.0,71.0,71.0,13,13,True,True,False,0.0,0.2,-5.0,False,True
2026-05-31,LA,13,70-71,70.0,70.0,71.0,71.0,13,13,True,True,False,0.0,0.1,-5.0,True,True
2026-05-31,LA,14,70-71,71.0,71.0,71.0,71.0,13,13,True,False,False,0.0,0.19,-5.0,True,True
2026-05-31,Manila,13,33,32.77777777777778,32.77777777777778,33.0,32.77777777777778,13,14,True,False,False,0.0,0.56,-5.0,True,True
2026-05-31,Manila,14,33,32.77777777777778,32.77777777777778,33.0,32.77777777777778,13,14,True,False,False,0.0,0.4,-5.0,True,True
2026-05-31,Miami,14,92-93,92.0,92.0,93.0,93.0,14,14,True,True,False,0.0,0.43,-5.0,True,True
2026-05-31,SaoPaulo,14,22,22.22222222222222,22.22222222222222,22.0,22.22222222222222,14,14,True,False,True,0.0,0.43,-5.0,True,False
2026-05-31,Singapore,14,33,32.77777777777778,32.77777777777778,33.0,32.77777777777778,14,14,True,False,False,0.0,0.04,-5.0,True,True
2026-05-31,Tokyo,14,27,27.22222222222222,27.22222222222222,27.0,27.22222222222222,13,17,True,False,True,0.0,0.37,-5.0,True,False
2026-05-31,Warsaw,14,20,18.88888888888889,20.0,20.0,20.0,13,15,True,False,False,0.0,0.43,-5.0,True,True
2026-05-31,Wuhan,14,30,30.0,30.0,30.0,30.0,14,17,True,False,False,0.0,0.39,-5.0,True,True
2026-06-01,Amsterdam,14,22,22.22222222222222,22.22222222222222,22.0,22.22222222222222,13,16,True,False,True,0.0,0.19,-5.0,True,False
2026-06-01,CapeTown,14,20,20.0,20.0,20.0,20.0,14,14,True,False,False,0.0,0.35,-5.0,True,True
2026-06-01,Chengdu,14,31,31.11111111111111,31.11111111111111,31.0,31.11111111111111,14,18,True,False,True,0.0,0.56,-5.0,True,False
2026-06-01,Guangzhou,14,35,35.0,35.0,35.0,35.0,14,14,True,False,False,0.0,0.45,-5.0,True,True
2026-06-01,Houston,12,90-91,90.0,90.0,91.0,91.0,13,13,True,True,False,0.0,0.47,-5.0,False,True
2026-06-01,Houston,13,90-91,90.0,90.0,91.0,91.0,13,13,True,True,False,0.0,0.46,-5.0,True,True
2026-06-01,Houston,14,90-91,91.0,91.0,91.0,91.0,13,13,True,False,False,0.0,0.51,-5.0,True,True
2026-06-01,Jeddah,14,35,35.0,35.0,35.0,35.0,14,14,True,False,False,0.0,0.58,-5.0,True,True
2026-06-01,Karachi,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,14,True,False,True,0.0,0.05,-5.0,True,False
2026-06-01,Lucknow,14,33,32.77777777777778,32.77777777777778,33.0,32.77777777777778,13,18,True,False,False,0.0,0.33,-5.0,True,True
