profile,period,expression,rows,active_dates,cities,avg_cost,cost,pnl,roi,win_rate,current_hit_rate,d1_hit_rate,d2_hit_rate,skip_over_rate,excess_roi_vs_current_yes,ci95,reps
all_current_d1_h13_17,new_2026_06_10_14,d2_no,733,5,36,0.9163424283765348,671.679,-10.678999999999998,-0.015898963641858683,0.9017735334242838,0.6534788540245566,0.21691678035470668,0.09822646657571624,0.03137789904502047,-0.018980173189921387,"[-0.09336352775710306, 0.042455412620118496]",3000
all_current_d1_h13_17,new_2026_06_10_14,no_ladder,733,5,36,1.7057926330150068,1250.346,-15.345999999999995,-0.01227340272212651,0.684856753069577,0.6534788540245566,0.21691678035470668,0.09822646657571624,0.03137789904502047,-0.015918856207240775,"[-0.0660190656467601, 0.03790123675229519]",3000
all_current_d1_h13_17,all,current_yes,4955,27,36,0.7204779011099899,3569.968,-88.96799999999998,-0.024921231786951586,0.7025227043390515,0.7025227043390515,0.19071644803229063,0.07951564076690212,0.027245206861755803,0.0,"[0.0, 0.0]",0
all_current_d1_h13_17,all,d1_no,5093,27,36,0.8202242293343806,4177.402,-86.40199999999999,-0.020683190174180025,0.8032593756135873,0.6909483604947968,0.1967406243864127,0.08050265069703515,0.03180836442175535,0.003824762186666466,"[-0.007789527395704292, 0.016636497073288577]",3000
all_current_d1_h13_17,all,d2_no,4210,27,36,0.9238591448931117,3889.447,-89.44699999999997,-0.022997356693637932,0.9026128266033254,0.6429928741092636,0.22256532066508314,0.09738717339667459,0.03705463182897862,0.008473720736682882,"[-0.01295490597122491, 0.028795216432709655]",3000
all_current_d1_h13_17,all,no_ladder,4210,27,36,1.7207467933491687,7244.344,-171.34399999999997,-0.023652107078294456,0.6807600950118765,0.6429928741092636,0.22256532066508314,0.09738717339667459,0.03705463182897862,0.0071145206090632886,"[-0.008817493467313121, 0.023222096963331818]",3000
current_d1_d2_visible,train,current_yes,1914,13,36,0.6649007314524557,1272.6200000000001,-39.61999999999999,-0.031132624035454408,0.6442006269592476,0.6442006269592476,0.2168234064785789,0.1044932079414838,0.034482758620689655,0.0,"[0.0, 0.0]",0
current_d1_d2_visible,train,d1_no,1953,13,36,0.7993241167434716,1561.08,-40.07999999999999,-0.025674533015604576,0.7788018433179723,0.6338965693804404,0.22119815668202766,0.10547875064004096,0.03942652329749104,0.0052518551895939965,"[-0.013938912354736618, 0.023887827136512746]",3000
current_d1_d2_visible,train,d2_no,1953,13,36,0.921695340501792,1800.071,-53.071,-0.02948272595914272,0.894521249359959,0.6338965693804404,0.22119815668202766,0.10547875064004096,0.03942652329749104,0.0029945561355323794,"[-0.019417228564633588, 0.025461100833310584]",3000
current_d1_d2_visible,train,no_ladder,1953,13,36,1.7210194572452635,3361.151,-93.15099999999998,-0.02771401820388313,0.6738351254480287,0.6338965693804404,0.22119815668202766,0.10547875064004096,0.03942652329749104,0.004046378092668296,"[-0.014388124420301424, 0.020774264626899762]",3000
