city,target_date,decision_hour_local,settled,steps,forecast_steps,temp_trend_1h_f,forecast_peak_delta_hours_local,minutes_since_running_max,forecast_gap_native,current_yes_ask,leg,leg_steps,leg_bracket,ask,ask_size,max_future_bid,min_future_ask,city_hot_tail_pct
NYC,2026-06-22,20,True,0.0,,4.0,,293.4166666666667,,0.986,d2_yes,2,76-77,0.004,194.59,0.002,0.014,0.2753888380603843
NYC,2026-06-22,20,True,0.0,,4.0,,293.4166666666667,,0.986,current_bracket_no,-1,72-73,0.061,,0.068,0.087,0.2753888380603843
SanFrancisco,2026-06-22,18,True,0.0,,-1.0,,124.61666666666666,,0.999,d1_yes,1,68-69,0.007,803.43,,,0.37359550561797755
SanFrancisco,2026-06-22,18,True,0.0,,-1.0,,124.61666666666666,,0.999,current_bracket_no,-1,66-67,0.005,,,,0.37359550561797755
Tokyo,2026-06-23,10,True,1.0,1.0,0.0,12.02,30.366666666666667,0.6777777777777771,0.01,d1_yes,1,23,0.18,12.83,0.998,0.21,0.2982616651418115
Tokyo,2026-06-23,10,True,1.0,1.0,0.0,12.02,30.366666666666667,0.6777777777777771,0.01,d2_yes,2,24,0.36,35.0,0.66,0.002,0.2982616651418115
Tokyo,2026-06-23,10,True,1.0,1.0,0.0,12.02,30.366666666666667,0.6777777777777771,0.01,tail_yes,7,29+,0.002,22.0,0.001,0.002,0.2982616651418115
Tokyo,2026-06-23,10,True,1.0,1.0,0.0,12.02,30.366666666666667,0.6777777777777771,0.01,current_bracket_no,-1,22,0.998,,0.995,0.993,0.2982616651418115
Wellington,2026-06-23,13,True,0.0,,0.0,,30.366666666666667,,0.51,d1_yes,1,15,0.44,5.0,0.001,0.003,0.8019662921348315
Wellington,2026-06-23,13,True,0.0,,0.0,,30.366666666666667,,0.51,d2_yes,2,16,0.028,10.0,0.001,0.002,0.8019662921348315
Wellington,2026-06-23,13,True,0.0,,0.0,,30.366666666666667,,0.51,current_bracket_no,-1,14,0.54,,0.002,0.002,0.8019662921348315
Busan,2026-06-23,10,True,3.0,2.0,0.0,9.02,29.366666666666667,1.7888888888888879,0.055,d1_yes,1,22,0.23,10.0,0.2,0.058,0.22331460674157302
Busan,2026-06-23,10,True,3.0,2.0,0.0,9.02,29.366666666666667,1.7888888888888879,0.055,d2_yes,2,23,0.37,14.74,0.38,0.39,0.22331460674157302
Busan,2026-06-23,10,True,3.0,2.0,0.0,9.02,29.366666666666667,1.7888888888888879,0.055,tail_yes,7,28,0.003,16.0,0.002,0.003,0.22331460674157302
Busan,2026-06-23,10,True,3.0,2.0,0.0,9.02,29.366666666666667,1.7888888888888879,0.055,current_bracket_no,-1,21,0.976,,0.995,0.986,0.22331460674157302
NYC,2026-06-22,21,True,0.0,,2.0,,39.36666666666667,,0.932,d1_yes,1,74-75,0.147,18.32,,,0.2753888380603843
NYC,2026-06-22,21,True,0.0,,2.0,,39.36666666666667,,0.932,d2_yes,2,76-77,0.014,1278.33,,,0.2753888380603843
NYC,2026-06-22,21,True,0.0,,2.0,,39.36666666666667,,0.932,current_bracket_no,-1,72-73,0.087,,,,0.2753888380603843
Denver,2026-06-22,19,True,0.0,,-3.4000000000000057,,92.36666666666666,,0.999,d1_yes,1,90-91,0.009,120.0,,,0.471671388101983
Denver,2026-06-22,19,True,0.0,,-3.4000000000000057,,92.36666666666666,,0.999,current_bracket_no,-1,88-89,0.009,,,,0.471671388101983
Taipei,2026-06-23,10,True,,,1.7999999999999972,10.0,0.55,1.5111111111111128,0.009,current_bracket_no,-1,34,0.992,,,,0.45365168539325845
Dallas,2026-06-22,21,True,0.0,0.0,-1.0,7.02,187.55,-0.4000000000000057,,d1_yes,1,96-97,0.005,400.0,,,0.702247191011236
Dallas,2026-06-22,21,True,0.0,0.0,-1.0,7.02,187.55,-0.4000000000000057,,d2_yes,2,98-99,0.003,305.05,,,0.702247191011236
Dallas,2026-06-22,21,True,0.0,0.0,-1.0,7.02,187.55,-0.4000000000000057,,current_bracket_no,-1,94-95,0.005,,,,0.702247191011236
Shanghai,2026-06-23,10,True,0.0,,0.0,,570.7333333333333,,0.8,d1_yes,1,25,0.2,100.0,0.08,0.002,0.6806953339432754
Shanghai,2026-06-23,10,True,0.0,,0.0,,570.7333333333333,,0.8,d2_yes,2,26,0.015,29.94,0.008,0.005,0.6806953339432754
Shanghai,2026-06-23,10,True,0.0,,0.0,,570.7333333333333,,0.8,tail_yes,3,27,0.004,31.93,0.001,0.001,0.6806953339432754
Shanghai,2026-06-23,10,True,0.0,,0.0,,570.7333333333333,,0.8,current_bracket_no,-1,24,0.22,,0.09,0.002,0.6806953339432754
Singapore,2026-06-23,10,True,3.0,1.0,1.7999999999999972,7.5,30.733333333333334,1.4111111111111114,0.007,d1_yes,1,30,0.06,10.0,0.011,0.019,0.702247191011236
Singapore,2026-06-23,10,True,3.0,1.0,1.7999999999999972,7.5,30.733333333333334,1.4111111111111114,0.007,d2_yes,2,31,0.44,52.34,0.26,0.129,0.702247191011236
Singapore,2026-06-23,10,True,3.0,1.0,1.7999999999999972,7.5,30.733333333333334,1.4111111111111114,0.007,tail_yes,6,35+,0.002,93.67,0.001,0.002,0.702247191011236
Singapore,2026-06-23,10,True,3.0,1.0,1.7999999999999972,7.5,30.733333333333334,1.4111111111111114,0.007,current_bracket_no,-1,29,0.999,,,,0.702247191011236
Seattle,2026-06-22,19,True,0.0,,-1.0,-16.0,97.73333333333332,-2.700000000000003,0.999,d1_yes,1,86-87,0.002,986.91,0.001,0.002,0.5098314606741573
Seattle,2026-06-22,19,True,0.0,,-1.0,-16.0,97.73333333333332,-2.700000000000003,0.999,current_bracket_no,-1,84-85,0.004,,0.001,0.002,0.5098314606741573
Manila,2026-06-23,10,True,1.0,1.0,0.0,11.0,30.733333333333334,1.0888888888888921,0.048,d1_yes,1,32,0.33,10.0,0.998,0.3,0.8497191011235955
