target_date,rows,cost,pnl,wins,roi,evidence_layer,scope,model,shadow_variant
2026-06-25,1,0.4823502416779014,0.5439268682750803,1.0,1.127659574468085,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-26,1,0.4992000000000001,-0.4992000000000001,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-08,2,0.8682303227851025,0.6335906456619266,1.0,0.7297495019864078,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-09,1,0.47602232387638765,2.168546142103544,1.0,4.555555555555556,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-10,1,0.7113104701600295,-0.7113104701600295,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-11,2,0.9719439189271523,2.1743716973550002,1.0,2.2371369942363626,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-12,1,0.8041736117539715,3.4283190816879836,1.0,4.263157894736842,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-13,1,0.5216025273595195,0.7824037910392792,1.0,1.4999999999999998,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-14,2,0.7272539181173666,0.43009281075509576,1.0,0.5913929097397946,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-15,2,0.8705777749542007,0.24956768906645954,1.0,0.2866690331941782,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-16,2,0.9640178956901782,0.06453867582843809,1.0,0.06694759103225187,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-17,1,0.4722370210088792,-0.4722370210088792,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-18,1,0.5528520405665007,-0.5528520405665007,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-19,2,0.8010510725271108,0.33107877780379213,1.0,0.4133054547437574,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-20,2,0.8590195962733874,-0.8590195962733874,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-21,2,0.8822858618044376,0.7950304231619476,1.0,0.901102984395515,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-23,2,0.9639057485524709,0.7397235196396161,1.0,0.7674230813027968,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-25,1,0.5324918112246546,-0.5324918112246546,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-26,1,0.5267556919292704,-0.5267556919292704,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
2026-06-07,1,0.5244235095701119,-0.5244235095701119,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend70score_gate_size_blend70
2026-06-08,2,0.8921381936710615,0.6695995486874786,1.0,0.7505558594371371,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend70score_gate_size_blend70
2026-06-09,1,0.49041339432583264,2.234105463039904,1.0,4.555555555555555,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend70score_gate_size_blend70
2026-06-10,1,0.7186262820960176,-0.7186262820960176,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend70score_gate_size_blend70
2026-06-11,2,0.9855983513562914,2.257485136060059,1.0,2.290471704780667,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend70score_gate_size_blend70
2026-06-12,1,0.8025041670523828,3.421201975328579,1.0,4.263157894736842,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend70score_gate_size_blend70
2026-06-13,1,0.5433615164157117,0.8150422746235675,1.0,1.4999999999999998,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,blend70score_gate_size_blend70
