policy,friction,period,rows,dates,cities,win_rate_final,avg_entry,tp_hit_rate,tp_then_final_lost,tp_then_final_won,roi,delta_vs_hold,delta_ci_low,delta_ci_high,roi_ci_low,roi_ci_high,top5_removed_roi,daily_win_rate,losing_days,le_minus50pct_days,max_daily_loss_roi,path_coverage
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.11851351351351351,0.2972972972972973,10,12,0.4400750136057481,0.1331516122647411,0.05405509263695679,0.21211692688707773,-0.25328947832158893,1.3181634521044476,-0.2423325263906258,0.5,3,0,-0.3864787694574929,1.0
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.10963157894736841,0.15789473684210525,1,2,0.4783455700779647,0.010860339994750386,-0.13042186571598333,0.08989796856328702,-0.41870154003622156,6.692307692307691,-1.0,0.6666666666666666,1,0,-0.41870154003622156,0.8947368421052632
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.11669892473118279,0.26881720430107525,11,14,0.44789372944415795,0.10816737384399029,0.007209356331432933,0.15886469770746164,-0.10988967087294457,2.64156492471739,-0.16290386912654142,0.5555555555555556,4,0,-0.41870154003622156,0.978494623655914
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_2c,full,476,53,48,0.13655462184873948,0.1150997899159664,0.16806722689075632,32,48,0.20166442537167928,0.06273204748501611,0.02720194485942559,0.07188671161558402,-0.06651115937399094,0.6267417253080466,0.06390261277298886,0.49056603773584906,27,14,-1.0,0.8319327731092437
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_2c,train_le_2026_06_20,383,44,48,0.13054830287206268,0.11471148825065274,0.14360313315926893,21,34,0.1423108081861555,0.05213519251190981,0.02193758952098635,0.06492022935478652,-0.18229386850732948,0.4082592900232537,-0.022118632692980453,0.4772727272727273,23,14,-1.0,0.7963446475195822
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_2c,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.11851351351351351,0.2972972972972973,10,12,0.43839648732920705,0.13147308598819996,0.05164007259354294,0.21076965257120794,-0.2543634139709701,1.315688711551929,-0.24338243992727918,0.5,3,0,-0.387421517411282,1.0
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_2c,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.10963157894736841,0.15789473684210525,1,2,0.47609930943476253,0.008614079351548214,-0.13581367211131287,0.0889590491224812,-0.4196404594770274,6.692307692307691,-0.9999999999999999,0.6666666666666666,1,0,-0.4196404594770274,0.8947368421052632
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_2c,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.11669892473118279,0.26881720430107525,11,14,0.446099214426041,0.10637285882587325,0.004760500274549332,0.15741101493660298,-0.11159816970706857,2.6394493532120014,-0.1643301687540741,0.5555555555555556,4,0,-0.4196404594770274,0.978494623655914
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c_fee1pct,full,476,53,48,0.13655462184873948,0.1150997899159664,0.16806722689075632,32,48,0.19256238456509567,0.06363000667843247,0.02824714739029554,0.07272196038698198,-0.07583594218754536,0.6175521333335905,0.0547283729568619,0.49056603773584906,27,14,-1.01,0.8319327731092437
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c_fee1pct,train_le_2026_06_20,383,44,48,0.13054830287206268,0.11471148825065274,0.14360313315926893,21,34,0.133071535808561,0.052895920134315294,0.022712016936736013,0.06549090434923509,-0.1917787486604765,0.39933348494411336,-0.031475056584656796,0.4772727272727273,23,14,-1.01,0.7963446475195822
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c_fee1pct,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.11851351351351351,0.2972972972972973,10,12,0.42971609468682925,0.13279269334582214,0.05370070828866616,0.21173987732205937,-0.26367758641141575,1.3078416545617129,-0.25264832349207494,0.5,3,0,-0.39683740582112925,1.0
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c_fee1pct,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.10963157894736841,0.15789473684210525,1,2,0.468121359551649,0.010636129468434641,-0.13065686571598314,0.0896388776541961,-0.4289606309453125,6.682307692307692,-1.01,0.6666666666666666,1,0,-0.4289606309453125,0.8947368421052632
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c_fee1pct,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.11669892473118279,0.26881720430107525,11,14,0.43756233159469565,0.1078359759945279,0.007000763107527234,0.158529955553782,-0.12022699106230383,2.6313604996595195,-0.17321296003563222,0.5555555555555556,4,0,-0.4289606309453125,0.978494623655914
adaptive_entry_2x_floor20_cap30_full,quoted_bidask,full,476,53,48,0.13655462184873948,0.1050997899159664,0.2773109243697479,83,49,0.8683984997558818,0.6093416481959368,0.36469657526210414,0.6897370814327152,0.5180495019204179,1.282849198333014,0.7138818847175828,0.7169811320754716,15,6,-1.0,0.8319327731092437
adaptive_entry_2x_floor20_cap30_full,quoted_bidask,train_le_2026_06_20,383,44,48,0.13054830287206268,0.10471148825065274,0.25326370757180156,62,35,0.7478850347453126,0.5435145609408615,0.3164658379645955,0.6636772873584226,0.3544654074483872,0.9637208354751835,0.5648267817570541,0.6818181818181818,14,6,-1.0,0.7963446475195822
adaptive_entry_2x_floor20_cap30_full,quoted_bidask,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.1085135135135135,0.40540540540540543,18,12,1.4439085082717573,1.0046182624195195,0.6937258578439282,1.3801467576594486,0.641619842483904,2.408359875987013,0.7415421967350063,1.0,0,0,0.23521841794569065,1.0
adaptive_entry_2x_floor20_cap30_full,quoted_bidask,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.0996315789473684,0.2631578947368421,3,2,1.0562362086439456,0.39677875167744886,-0.5458015267175572,0.9830550401978974,-0.27353689567430034,8.090909090909092,-0.8571428571428571,0.6666666666666666,1,0,-0.27353689567430034,0.8947368421052632
adaptive_entry_2x_floor20_cap30_full,quoted_bidask,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.1066989247311828,0.3763440860215054,21,14,1.3647066406058606,0.8804359967840428,0.2713896818360629,1.1246244904881124,0.5946348244055312,3.6977452114869687,0.7100187816557235,0.8888888888888888,1,0,-0.27353689567430034,0.978494623655914
adaptive_entry_2x_floor20_cap30_full,sell_minus_1c,full,476,53,48,0.13655462184873948,0.1050997899159664,0.2773109243697479,83,49,0.8475976037893027,0.5885407522293575,0.3496086002004691,0.6676011068645611,0.4986325862670682,1.2651342412884263,0.6930990259488109,0.7169811320754716,15,7,-1.0,0.8319327731092437
adaptive_entry_2x_floor20_cap30_full,sell_minus_1c,train_le_2026_06_20,383,44,48,0.13054830287206268,0.10471148825065274,0.25326370757180156,62,35,0.7288995580460954,0.5245290842416441,0.3035940190720365,0.6423901449631041,0.33751712041847376,0.946075367329682,0.5458810101211696,0.6818181818181818,14,7,-1.0,0.7963446475195822
adaptive_entry_2x_floor20_cap30_full,sell_minus_1c,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.1085135135135135,0.40540540540540543,18,12,1.413994769270465,0.9747045234182273,0.6706346615294878,1.341616660878217,0.6104317923816,2.37553557279947,0.7113399711790426,1.0,0,0,0.2116587957497048,1.0
adaptive_entry_2x_floor20_cap30_full,sell_minus_1c,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.0996315789473684,0.2631578947368421,3,2,1.0343324076862703,0.37487495071977356,-0.5585241730279898,0.9521608274403306,-0.2862595419847329,8.090909090909092,-0.8633540372670806,0.6666666666666666,1,0,-0.2862595419847329,0.8947368421052632
adaptive_entry_2x_floor20_cap30_full,sell_minus_1c,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.1066989247311828,0.3763440860215054,21,14,1.3364293405597156,0.8521586967378981,0.25595778477818143,1.0924074362727192,0.56642935494423,3.6846928110735004,0.6811753609778531,0.8888888888888888,1,0,-0.2862595419847329,0.978494623655914
