target_date,knmi_filename,interval_end_utc,created_at_utc,last_modified_at_utc,created_delay_sec,last_modified_delay_sec,revision_lag_after_created_sec
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221920.nc,2026-07-22T19:20:00+00:00,2026-07-22T19:23:42+00:00,2026-07-22T19:33:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221930.nc,2026-07-22T19:30:00+00:00,2026-07-22T19:33:43+00:00,2026-07-22T19:43:40+00:00,223.0,820.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221940.nc,2026-07-22T19:40:00+00:00,2026-07-22T19:43:42+00:00,2026-07-22T19:53:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221950.nc,2026-07-22T19:50:00+00:00,2026-07-22T19:53:42+00:00,2026-07-22T20:03:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222000.nc,2026-07-22T20:00:00+00:00,2026-07-22T20:03:41+00:00,2026-07-22T20:13:41+00:00,221.0,821.0,600.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222010.nc,2026-07-22T20:10:00+00:00,2026-07-22T20:13:44+00:00,2026-07-22T20:23:42+00:00,224.0,822.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222020.nc,2026-07-22T20:20:00+00:00,2026-07-22T20:23:44+00:00,2026-07-22T20:33:40+00:00,224.0,820.0,596.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222030.nc,2026-07-22T20:30:00+00:00,2026-07-22T20:33:42+00:00,2026-07-22T20:43:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222040.nc,2026-07-22T20:40:00+00:00,2026-07-22T20:43:43+00:00,2026-07-22T20:53:40+00:00,223.0,820.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222050.nc,2026-07-22T20:50:00+00:00,2026-07-22T20:53:43+00:00,2026-07-22T21:03:40+00:00,223.0,820.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222100.nc,2026-07-22T21:00:00+00:00,2026-07-22T21:03:42+00:00,2026-07-22T21:13:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222110.nc,2026-07-22T21:10:00+00:00,2026-07-22T21:13:42+00:00,2026-07-22T21:23:41+00:00,222.0,821.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222120.nc,2026-07-22T21:20:00+00:00,2026-07-22T21:23:42+00:00,2026-07-22T21:53:38+00:00,222.0,2018.0,1796.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222130.nc,2026-07-22T21:30:00+00:00,2026-07-22T21:33:41+00:00,2026-07-22T22:03:39+00:00,221.0,2019.0,1798.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222140.nc,2026-07-22T21:40:00+00:00,2026-07-22T21:43:42+00:00,2026-07-22T22:03:41+00:00,222.0,1421.0,1199.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607222150.nc,2026-07-22T21:50:00+00:00,2026-07-22T21:53:43+00:00,2026-07-22T22:03:44+00:00,223.0,824.0,601.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222200.nc,2026-07-22T22:00:00+00:00,2026-07-22T22:03:46+00:00,2026-07-22T22:13:45+00:00,226.0,825.0,599.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222210.nc,2026-07-22T22:10:00+00:00,2026-07-22T22:13:46+00:00,2026-07-22T22:23:40+00:00,226.0,820.0,594.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222220.nc,2026-07-22T22:20:00+00:00,2026-07-22T22:23:41+00:00,2026-07-22T22:33:39+00:00,221.0,819.0,598.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222230.nc,2026-07-22T22:30:00+00:00,2026-07-22T22:33:41+00:00,2026-07-22T22:43:41+00:00,221.0,821.0,600.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222240.nc,2026-07-22T22:40:00+00:00,2026-07-22T22:43:43+00:00,2026-07-22T22:53:39+00:00,223.0,819.0,596.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222250.nc,2026-07-22T22:50:00+00:00,2026-07-22T22:53:41+00:00,2026-07-22T23:03:41+00:00,221.0,821.0,600.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222300.nc,2026-07-22T23:00:00+00:00,2026-07-22T23:03:43+00:00,2026-07-22T23:13:39+00:00,223.0,819.0,596.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222310.nc,2026-07-22T23:10:00+00:00,2026-07-22T23:13:41+00:00,2026-07-22T23:23:39+00:00,221.0,819.0,598.0
2026-07-23,KMDS__OPER_P___10M_OBS_L2_202607222320.nc,2026-07-22T23:20:00+00:00,2026-07-22T23:23:41+00:00,2026-07-22T23:33:48+00:00,221.0,828.0,607.0
