target_date,current_x,probability,scenario,decision_ts_utc,p_win,midpoint,entry_price_proxy,effective_cost_per_share,won,cash_cost,pnl
2026-07-17,24,p_r16_final_descriptive,ask_markup_median,2026-07-17T13:02:35.416649+00:00,0.4266671978915709,0.31,0.3425,0.35375968750000003,False,1.7687984375,-1.7687984375
2026-07-18,20,p_r16_final_descriptive,ask_markup_median,2026-07-18T05:32:01.167926+00:00,0.9997229850111453,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-18,22,p_r16_final_descriptive,ask_markup_median,2026-07-18T07:02:09.799585+00:00,0.9897549330615716,0.9655,0.976982,0.9781064085838,True,4.890532042919,0.10946795708099977
2026-07-18,23,p_r16_final_descriptive,ask_markup_median,2026-07-18T09:02:57.988619+00:00,0.9729076027190596,0.925,0.936482,0.9394561731838,True,4.697280865919,0.30271913408100026
2026-07-18,24,p_r16_final_descriptive,ask_markup_median,2026-07-18T10:31:29.496053+00:00,0.9452335325026693,0.83,0.841482,0.8481515021838,True,4.240757510919,0.7592424890810001
2026-07-18,25,p_r16_final_descriptive,ask_markup_median,2026-07-18T12:03:32.900779+00:00,0.39194879476080796,0.235,0.2675,0.27729718750000004,True,1.3864859375000003,3.6135140624999997
2026-07-18,26,p_r16_final_descriptive,ask_markup_median,2026-07-18T13:12:41.570283+00:00,0.07744467762715006,0.045,0.05499999999999999,0.05759874999999999,False,0.28799374999999994,-0.28799374999999994
2026-07-19,20,p_r16_final_descriptive,ask_markup_median,2026-07-19T10:42:30.988944+00:00,0.32864636992165946,0.255,0.28750000000000003,0.29774218750000003,False,1.4887109375,-1.4887109375
2026-07-20,16,p_r16_final_descriptive,ask_markup_median,2026-07-20T06:32:39.894113+00:00,0.9992819500568776,0.9985,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-20,17,p_r16_final_descriptive,ask_markup_median,2026-07-20T07:31:14.125164+00:00,0.9991895495814094,0.9975,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-20,18,p_r16_final_descriptive,ask_markup_median,2026-07-20T09:52:59.850180+00:00,0.9999170463592585,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-20,19,p_r16_final_descriptive,ask_markup_median,2026-07-20T10:03:26.141561+00:00,0.9738412162997486,0.935,0.946482,0.9490146911838,True,4.745073455919,0.254926544081
2026-07-20,20,p_r16_final_descriptive,ask_markup_median,2026-07-20T11:02:18.062112+00:00,0.7955582987626361,0.445,0.47750000000000004,0.48997468750000006,True,2.4498734375000004,2.5501265624999996
2026-07-20,21,p_r16_final_descriptive,ask_markup_median,2026-07-20T12:33:02.578212+00:00,0.10399508926688886,0.05,0.06,0.06282,False,0.3141,-0.3141
2026-07-21,14,p_r16_final_descriptive,ask_markup_median,2026-07-21T10:13:07.652241+00:00,0.2517722483529297,0.21,0.2425,0.2516846875,False,1.2584234375,-1.2584234375
